"0","50","729","0","20","false","","83","115.18"
"1","50","4738","0","13","false","","79","238.91"
"2","50","213","0","15","false","","9","396.73"
"3","50","2898","0","1","false","","79","92.96"
"4","50","3344","0","8","false","","31","291.41"
"5","99","785","1","11","false","","50","285.15"
"6","99","3507","1","3","false","","20","334.12"
"7","20","160","2","3","false","","79","171.66"
"8","20","4096","2","7","false","","78","415.27"
"9","20","1960","2","14","false","","86","344.76"
"10","20","544","2","11","false","","4","289.83"
"11","20","2334","2","13","false","","83","277.09"
"12","20","2792","2","13","false","","92","395.89"
"13","20","1370","2","5","false","","40","206.10"
"14","20","3810","2","10","false","","76","141.90"
"15","20","2876","2","3","false","","48","241.43"
"16","20","677","2","9","false","","99","130.29"
"17","90","3796","3","3","false","","5","389.19"
"18","90","2838","3","4","false","","95","280.73"
"19","90","3416","3","9","false","","31","497.77"
"20","90","4189","3","4","false","","30","338.27"
"21","90","3999","3","16","false","","47","75.87"
"22","90","95","3","10","false","","38","155.75"
"23","90","2512","3","13","false","","78","477.79"
"24","90","1667","3","1","false","","38","146.80"
"25","90","4443","3","11","false","","94","279.31"
"26","79","3828","4","19","false","","78","114.83"
"27","79","4733","4","1","false","","16","435.07"
"28","79","2342","4","10","false","","86","262.35"
"29","79","2682","4","2","false","","26","290.10"
"30","79","2946","4","9","false","","86","99.63"
"31","79","4506","4","5","false","","98","235.59"
"32","79","4208","4","15","false","","98","67.45"
"33","79","1416","4","10","false","","90","47.98"
"34","4","926","5","2","false","","76","110.67"
"35","4","3201","5","13","false","","52","215.65"
"36","4","3818","5","12","false","","17","85.69"
"37","65","2343","6","18","false","","9","205.32"
"38","65","3521","6","15","false","","9","414.41"
"39","65","836","6","4","false","","62","211.55"
"40","65","4417","6","4","false","","83","320.57"
"41","12","2802","7","16","false","","95","165.05"
"42","12","4152","7","9","false","","54","114.57"
"43","12","1229","7","2","false","","86","303.26"
"44","12","4615","7","20","false","","4","368.61"
"45","12","1249","7","8","false","","40","435.62"
"46","12","2497","7","3","false","","84","462.19"
"47","12","3907","7","18","false","","93","321.12"
"48","12","1164","7","6","false","","11","274.22"
"49","2","642","8","8","false","","78","240.84"
"50","2","582","8","12","false","","9","332.93"
"51","2","4039","8","12","false","","9","195.62"
"52","2","2497","8","5","false","","84","153.27"
"53","2","4622","8","12","false","","33","126.72"
